Symbol,Address,Data Type,Comment
Ctrl_Word,%VW138,WORD,MODBUS 40070 control ESP32
Ctrl_Enable,%V138.0,BOOL,Enable driver
Ctrl_ResetPos,%V138.1,BOOL,Reset posicion PTO0
Ctrl_StartPABS,%V138.2,BOOL,Start PABS
Ctrl_StartHome,%V138.3,BOOL,Start PHOME
Ctrl_ResetStatus,%V138.4,BOOL,Reset estados internos
Ctrl_Stop,%V138.5,BOOL,PSTOP
Param_POS,%VD100,DINT,MODBUS 40051-40052 destino PABS
Param_MAXF_PABS,%VD104,DWORD,MODBUS 40053-40054 max freq PABS
Param_MINF_PABS,%VW108,WORD,MODBUS 40055 min freq PABS
Param_TIME_PABS,%VW110,WORD,MODBUS 40056 aceleracion PABS
Param_MODE_HOME,%VW112,INT,MODBUS 40057 modo HOME
Param_DIRC_HOME,%VW114,INT,MODBUS 40058 direccion HOME
Param_MINF_HOME,%VW116,WORD,MODBUS 40059 min freq HOME
Param_MAXF_HOME,%VD118,DWORD,MODBUS 40060-40061 max freq HOME
Param_TIME_HOME,%VW122,WORD,MODBUS 40062 aceleracion HOME
Status_Word,%VW302,WORD,MODBUS 40152 bits de estado
Status_Err_PABS_STOP,%VW304,WORD,MODBUS 40153 VB304=PABS VB305=STOP
Status_Err_HOME,%VW306,WORD,MODBUS 40154 VB306=HOME
Status_PosActual,%VD200,DINT,MODBUS 40101-40102 copia de SMD212
Status_HomeOK,%V302.0,BOOL,
Status_HomeDone,%V302.1,BOOL,
Status_HomeErr,%V302.2,BOOL,
Status_PabsDone,%V302.3,BOOL,
Status_PabsErr,%V302.4,BOOL,
Status_PTO0,%V302.5,BOOL,
Status_HomingAct,%V302.6,BOOL,
Status_PabsAct,%V302.7,BOOL,
Status_HomeSensor,%V303.0,BOOL,
Status_SystemReady,%V303.1,BOOL,
Status_EnableOut,%V303.2,BOOL,
Status_StopDone,%V303.3,BOOL,
Status_CtrlEnable,%V303.4,BOOL,
Status_CtrlStop,%V303.5,BOOL,
M_HomeOK,%M1.0,BOOL,
M_HomingActive,%M1.1,BOOL,
M_PabsActive,%M1.2,BOOL,
M_SystemReady,%M1.3,BOOL,
M_NoHomeErr,%M1.4,BOOL,
M_NoPabsErr,%M1.5,BOOL,
M_PabsDone,%M2.1,BOOL,
M_PabsErr,%M2.2,BOOL,
M_HomeDone,%M3.1,BOOL,
M_HomeErr,%M3.2,BOOL,
M_StopDone,%M5.0,BOOL,
M_NHOME,%M10.0,BOOL,
ErrID_PABS,%VB304,BYTE,
ErrID_STOP,%VB305,BYTE,
ErrID_HOME,%VB306,BYTE,
Hw_HomeSensor,%I0.0,BOOL,
Hw_StepPul,%Q0.0,BOOL,
Hw_Dir,%Q0.2,BOOL,
Hw_DrvEnable,%Q0.3,BOOL,
